english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
It starts with Windows through its scheduled task.	Er startet mit Windows über seine geplante Aufgabe.	Il démarre avec Windows via sa tâche planifiée.	예약 작업을 통해 Windows와 함께 시작합니다.	Arranca con Windows mediante su tarea programada.	Запускается вместе с Windows через задачу планировщика.	Ξεκινά με τα Windows μέσω της προγραμματισμένης εργασίας του.	它通过计划任务随 Windows 启动。	它透過排程工作隨 Windows 啟動。	Si avvia con Windows tramite la sua attività pianificata.	Ele inicia com o Windows pela sua tarefa agendada.	タスクスケジューラのタスクで Windows と一緒に起動します。	Uruchamia się z Windows przez zadanie zaplanowane.
It walks you through every step.	Es führt dich durch jeden Schritt.	Il te guide à chaque étape.	모든 단계를 안내해 줍니다.	Te guía por cada paso.	Проведёт вас через каждый шаг.	Σας καθοδηγεί σε κάθε βήμα.	它会带你走完每一步。	它會帶你走完每一步。	Ti guida passo per passo.	Ele guia você em cada etapa.	すべての手順を案内します。	Prowadzi Cię przez każdy krok.
It writes TDP, fan curve, LEDs, controller and the on-screen display.	Er schreibt TDP, Lüfterkurve, LEDs, Controller und das Overlay.	Il écrit le TDP, la courbe du ventilateur, les LED, la manette et l'overlay.	TDP, 팬 커브, LED, 컨트롤러, 화면 표시를 씁니다.	Escribe el TDP, la curva del ventilador, los LED, el mando y el overlay.	Он записывает TDP, кривую вентилятора, подсветку, контроллер и экранный оверлей.	Γράφει TDP, καμπύλη ανεμιστήρα, LED, χειριστήριο και την εμφάνιση στην οθόνη.	它写入 TDP、风扇曲线、LED、手柄和屏幕显示。	它寫入 TDP、風扇曲線、LED、控制器和螢幕顯示。	Scrive TDP, curva della ventola, LED, controller e overlay.	Ele grava TDP, curva da ventoinha, LEDs, controle e o overlay na tela.	TDP、ファンカーブ、LED、コントローラー、画面表示を書き込みます。	Zapisuje TDP, krzywą wentylatora, LED, kontroler i nakładkę ekranową.
Keep everything	Alles behalten	Tout garder	그대로 두기	Conservar todo	Оставить всё	Διατήρηση όλων	全部保留	全部保留	Mantieni tutto	Manter tudo	すべて残す	Zachowaj wszystko
Keeps your session in memory.	Behält deine Sitzung im Arbeitsspeicher.	Conserve ta session en mémoire.	세션을 메모리에 유지합니다.	Mantiene tu sesión en memoria.	Сохраняет сессию в памяти.	Κρατά τη συνεδρία σας στη μνήμη.	把会话保留在内存中。	把工作階段保留在記憶體中。	Mantiene la sessione in memoria.	Mantém a sessão na memória.	セッションをメモリに保持します。	Zachowuje sesję w pamięci.
Keyboard	Tastatur	Clavier	키보드	Teclado	Клавиатура	Πληκτρολόγιο	键盘	鍵盤	Tastiera	Teclado	キーボード	Klawiatura
Language	Sprache	Langue	언어	Idioma	Язык	Γλώσσα	语言	語言	Lingua	Idioma	言語	Język
Last played	Zuletzt gespielt	Dernière partie	마지막 플레이	Última partida	Последняя игра	Τελευταίο παιχνίδι	最近游玩	最近遊玩	Ultima partita	Jogado por último	最終プレイ	Ostatnio grane
Layout	Belegung	Disposition	배치	Diseño	Раскладка	Διάταξη	布局	版面	Layout		レイアウト	Układ
Library quick menu	Bibliothek Schnellmenü	Menu rapide de la bibliothèque	라이브러리 빠른 메뉴	Menú rápido de la biblioteca	Быстрое меню библиотеки	Γρήγορο μενού βιβλιοθήκης	游戏库快捷菜单	遊戲庫快捷選單	Menu rapido libreria	Menu rápido da biblioteca	ライブラリのクイックメニュー	Szybkie menu biblioteki
Leave the library open.	Bibliothek offen lassen.	Laisser la bibliothèque ouverte.	라이브러리를 열어 둡니다.	Deja la biblioteca abierta.	Оставить библиотеку открытой.	Αφήστε τη βιβλιοθήκη ανοιχτή.	让游戏库保持打开。	讓遊戲庫保持開啟。	Lascia aperta la libreria.	Deixe a biblioteca aberta.	ライブラリを開いたままにします。	Zostaw bibliotekę otwartą.
Left stick	Linker Stick	Stick gauche	왼쪽 스틱	Stick izquierdo	Левый стик	Αριστερός μοχλός	左摇杆	左搖桿	Stick sinistro	Analógico esq.	左スティック	Lewa gałka
Left trigger	Linker Trigger	Gâchette gauche	왼쪽 트리거	Gatillo izquierdo	Левый триггер	Αριστερή σκανδάλη	左扳机	左板機	Grilletto sinistro	Gatilho esquerdo	左トリガー	Lewy spust
Looking for pictures…	Bilder werden gesucht…	Recherche d'images…	사진을 찾는 중…	Buscando imágenes…	Поиск изображений…	Αναζήτηση εικόνων…	正在查找图片…	正在尋找圖片…	Ricerca delle immagini…	Procurando imagens…	画像を探しています…	Szukanie obrazów…
Move a tab with LB and RB.	Verschiebe einen Tab mit LB und RB.	Déplacez un onglet avec LB et RB.	LB와 RB로 탭을 옮기세요.	Mueve una pestaña con LB y RB.	Переместите вкладку кнопками LB и RB.	Μετακινήστε μια καρτέλα με LB και RB.	用 LB 和 RB 移动标签。	用 LB 和 RB 移動標籤。	Sposta una scheda con LB e RB.	Mova uma aba com LB e RB.	LB と RB でタブを移動します。	Przesuń kartę przyciskami LB i RB.
None	Keiner	Aucun	없음	Ninguno	Нет	Καμία	无	無	Nessuno	Nenhum	なし	Brak
Not set	Nicht belegt	Non défini	설정 안 됨	Sin definir	Не задано	Δεν ορίστηκε	未设置	未設定	Non definito	Não definido	未設定	Brak
No background	Kein Hintergrund	Aucun fond	배경 없음	Sin fondo	Без фона	Χωρίς φόντο	无背景	無背景	Nessuno sfondo	Sem fundo	背景なし	Bez tła
No JPG, PNG or BMP files in that folder.	Keine JPG-, PNG- oder BMP-Dateien in dem Ordner.	Aucun fichier JPG, PNG ou BMP dans ce dossier.	해당 폴더에 JPG, PNG, BMP 파일이 없습니다.	No hay archivos JPG, PNG o BMP en esa carpeta.	В этой папке нет файлов JPG, PNG или BMP.	Δεν υπάρχουν αρχεία JPG, PNG ή BMP σε αυτόν τον φάκελο.	该文件夹中没有 JPG、PNG 或 BMP 文件。	該資料夾中沒有 JPG、PNG 或 BMP 檔案。	Nessun file JPG, PNG o BMP in quella cartella.	Nenhum arquivo JPG, PNG ou BMP nessa pasta.	そのフォルダーに JPG、PNG、BMP がありません。	Brak plików JPG, PNG lub BMP w tym folderze.
Needs the mouse or the touchscreen	Braucht Maus oder Touchscreen	Nécessite la souris ou l'écran tactile	마우스나 터치가 필요합니다	Necesita ratón o pantalla táctil	Нужна мышь или сенсорный экран	Χρειάζεται ποντίκι ή οθόνη αφής	需要鼠标或触摸屏	需要滑鼠或觸控螢幕	Serve il mouse o il touchscreen	Precisa do mouse ou da tela sensível ao toque	マウスかタッチ操作が必要です	Wymaga myszy lub ekranu dotykowego
No suggestions on this machine.	Keine Vorschläge auf diesem Rechner.	Aucune suggestion sur cette machine.	이 PC에는 제안할 폴더가 없습니다.	Sin sugerencias en este equipo.	На этом компьютере нет подсказок.	Καμία πρόταση σε αυτό το μηχάνημα.	这台机器上没有建议。	這台機器上沒有建議。	Nessun suggerimento su questa macchina.	Nenhuma sugestão nesta máquina.	この PC では候補がありません。	Brak propozycji na tym komputerze.
No picked cover on this game	Für dieses Spiel wurde keins gewählt	Aucune jaquette choisie pour ce jeu	이 게임에는 선택한 커버가 없습니다	No hay portada elegida para este juego	Для этой игры обложка не выбрана	Δεν έχει επιλεγεί εξώφυλλο για αυτό το παιχνίδι	这个游戏没有选定封面	這款遊戲沒有選定封面	Nessuna copertina scelta per questo gioco	Nenhuma capa escolhida neste jogo	このゲームにはカバーが選ばれていません	Brak wybranej okładki dla tej gry
Nothing unlocked yet.	Noch nichts freigeschaltet.	Rien de débloqué pour l'instant.	아직 달성한 항목이 없습니다.	Aún no has desbloqueado nada.	Пока ничего не открыто.	Τίποτα ξεκλείδωτο ακόμη.	还没有解锁任何内容。	還沒有解鎖任何內容。	Nulla di sbloccato ancora.	Nada desbloqueado ainda.	まだ何も解除されていません。	Nic jeszcze nie odblokowano.
Open release page	Release-Seite öffnen	Page des versions	릴리스 페이지 열기	Página de versiones	Открыть страницу релиза	Άνοιγμα σελίδας έκδοσης	打开发布页	開啟發佈頁	Apri la pagina delle release	Abrir página da release	リリースページを開く	Otwórz stronę wydania
Recent reflections	Spiegelung in Recent	Reflets dans Recent	최근 반사 효과	Reflejos en Recientes	Отражения в «Недавних»	Πρόσφατες σκέψεις	最近倒影	最近倒影	Riflessi in Recent	Reflexos em Recentes	最近の映り込み	Odbicia w Ostatnich
Set	Gesetzt	Défini	설정됨	Definido	Задать	Ορισμός	已设置	已設定	Imposta	Definir	設定済み	Ustaw
Remove background	Hintergrund entfernen	Retirer le fond	배경 제거	Quitar el fondo	Убрать фон	Αφαίρεση φόντου	移除背景	移除背景	Rimuovi sfondo	Remover fundo	背景を消す	Usuń tło
Setting the picture…	Bild wird gesetzt…	Application de l'image…	이미지 적용 중…	Aplicando la imagen…	Установка изображения…	Ορισμός εικόνας…	正在设置图片…	正在設定圖片…	Impostazione dell'immagine…	Definindo a imagem…	画像を設定中…	Ustawianie obrazu…
Pick a folder once. Sub-folders are included.	Einmal einen Ordner wählen. Unterordner zählen mit.	Choisissez un dossier une fois. Les sous-dossiers comptent.	폴더를 한 번만 선택하세요. 하위 폴더도 포함됩니다.	Elige una carpeta una vez. Incluye subcarpetas.	Выберите папку один раз. Подпапки учитываются.	Επιλέξτε φάκελο μία φορά. Οι υποφάκελοι περιλαμβάνονται.	选一次文件夹，包含子文件夹。	選一次資料夾，包含子資料夾。	Scegli una cartella una volta. Le sottocartelle sono incluse.	Escolha uma pasta uma vez. Subpastas são incluídas.	フォルダーを一度選びます。サブフォルダーも含みます。	Wybierz folder raz. Podfoldery są uwzględniane.
Reset	Rücksetzen	Réinit.	초기화	Restablecer	Сбросить	Επαναφορά	重置	重設	Reset	Redefinir	リセット	Resetuj
Reset cover	Cover zurücksetzen	Jaquette d'origine	커버 초기화	Portada original	Обложка по умолч.	Επαναφορά εξωφύλλου	重置封面	重設封面	Copertina base	Capa padrão	カバーを戻す	Domyślna okładka
Own image	Eigenes Bild	Image perso	내 이미지	Imagen propia	Своя картинка	Δική σας εικόνα	自有图片	自有圖片	Tua immagine	Imagem própria	自分の画像	Własny obraz
Pick the folder your pictures are in	Ordner mit deinen Bildern wählen	Choisir le dossier de vos images	사진이 있는 폴더를 선택하세요	Elige la carpeta con tus imágenes	Выберите папку с вашими изображениями	Επιλέξτε τον φάκελο με τις εικόνες σας	选择存放图片的文件夹	選擇存放圖片的資料夾	Scegli la cartella con le tue immagini	Escolha a pasta onde estão suas imagens	画像が入っているフォルダーを選んでください	Wybierz folder ze swoimi obrazami
Show	Anzeigen	Afficher	표시	Mostrar	Показать	Εμφάνιση	显示	顯示	Mostra	Mostrar	表示	Pokaż
Shown	Sichtbar	Affiché	표시	Visible	Показано	Ορατή	已显示	已顯示	Visibile	Visível	表示中	Widoczne
Steam games only	Nur bei Steam-Spielen	Jeux Steam uniquement	Steam 게임만 해당	Solo para juegos de Steam	Только игры Steam	Μόνο παιχνίδια Steam	仅 Steam 游戏	僅 Steam 遊戲	Solo giochi Steam	Só jogos Steam	Steam のゲームのみ	Tylko gry Steam
Steam has no list for this game	Steam hat keine Liste für dieses Spiel	Steam n'a pas de liste pour ce jeu	Steam에 이 게임 목록이 없음	Steam no tiene lista para este juego	У Steam нет списка для этой игры	Το Steam δεν έχει λίστα για αυτό το παιχνίδι	Steam 没有这个游戏的清单	Steam 沒有這款遊戲的清單	Steam non ha un elenco per questo gioco	O Steam não tem lista para este jogo	このゲームには Steam の一覧がありません	Steam nie ma listy dla tej gry
System tray / Processes	Systemtray/Prozesse	Zone de notification/Processus	시스템 트레이/프로세스	Bandeja del sistema/Procesos	Системный трей / Процессы	Περιοχή ειδοποιήσεων / Διεργασίες	通知区域 / 进程	通知區 / 處理程序	Area di notifica / Processi	Bandeja do sistema / Processos	通知領域 / プロセス	Zasobnik / Procesy
This file does not install ClawTweaks Center	Diese Datei installiert ClawTweaks Center nicht	Ce fichier n'installe pas ClawTweaks Center	이 파일은 ClawTweaks Center를 설치하지 않습니다	Este archivo no instala ClawTweaks Center	Этот файл не устанавливает ClawTweaks Center	Αυτό το αρχείο δεν εγκαθιστά το ClawTweaks Center	此文件不会安装 ClawTweaks Center	此檔案不會安裝 ClawTweaks Center	Questo file non installa ClawTweaks Center	Este arquivo não instala o ClawTweaks Center	このファイルは ClawTweaks Center をインストールしません	Ten plik nie instaluje ClawTweaks Center
Use as background	Als Hintergrund	Comme fond	배경으로 사용	Como fondo	Сделать фоном	Χρήση ως φόντο	用作背景	用作背景	Usa come sfondo	Usar como fundo	背景に使う	Użyj jako tła
Use this folder	Diesen Ordner nehmen	Utiliser ce dossier	이 폴더 사용	Usar esta carpeta	Использовать эту папку	Χρήση αυτού του φακέλου	使用此文件夹	使用此資料夾	Usa questa cartella	Usar esta pasta	このフォルダーを使う	Użyj tego folderu
View	Ansehen	Voir	보기	Ver	Вид	Προβολή	查看	檢視	Vista	Exibir	表示	Widok
Where are your pictures?	Wo liegen deine Bilder?	Où sont vos images ?	사진이 어디에 있나요?	¿Dónde están tus imágenes?	Где ваши изображения?	Πού είναι οι εικόνες σας;	你的图片在哪里？	你的圖片在哪裡？	Dove sono le tue immagini?	Onde estão suas imagens?	画像はどこにありますか？	Gdzie są Twoje obrazy?
Use one of your own images…	Eigenes Bild verwenden…	Utiliser une de vos images…	내 이미지 사용…	Usar una de tus imágenes…	Использовать своё изображение…	Χρήση δικής σας εικόνας…	使用自己的图片…	使用自己的圖片…	Usa una tua immagine…	Use uma imagem sua…	自分の画像を使う…	Użyj własnego obrazu…
Windows tools	Windows-Tools	Outils Windows	Windows 도구	Herramientas Windows	Инструменты Windows	Εργαλεία Windows	Windows 工具	Windows 工具	Strumenti Windows	Ferramentas do Windows	Windows ツール	Narzędzia Windows
Windows Explorer	Windows Explorer	Explorateur Windows	파일 탐색기	Explorador de Windows	Проводник Windows	Εξερεύνηση των Windows	文件资源管理器	檔案總管	Esplora file	Explorador do Windows	エクスプローラー	Eksplorator Windows
Task Manager	Task-Manager	Gestionnaire tâches	작업 관리자	Admin. de tareas	Диспетчер задач	Διαχείριση εργασιών	任务管理器	工作管理員	Gestione attività	Gerenc. de Tarefas	タスクマネージャー	Menedżer zadań
Windows Settings	Windows-Einstellungen	Paramètres Windows	Windows 설정	Configuración de Windows	Параметры Windows	Ρυθμίσεις Windows	Windows 设置	Windows 設定	Impostazioni Windows	Configurações do Windows	Windows の設定	Ustawienia Windows
Control Panel (classic)	Systemsteuerung (klassisch)	Panneau de configuration (classique)	제어판(클래식)	Panel de control (clásico)	Панель управления (классическая)	Πίνακας Ελέγχου (κλασικός)	控制面板 (经典)	控制台 (傳統)	Pannello di controllo	Painel de Controle (clássico)	コントロール パネル (従来型)	Panel sterowania (klasyczny)
Computer Management	Computerverwaltung	Gestion de l'ordinateur	컴퓨터 관리	Administración de equipos	Управление компьютером	Διαχείριση υπολογιστή	计算机管理	電腦管理	Gestione computer	Gerenciamento do Computador	コンピューターの管理	Zarządzanie komputerem
Installed apps	Installierte Apps	Applications installées	설치된 앱	Aplicaciones instaladas	Установл. приложения	Εγκατεστημένες εφαρμογές	已安装的应用	已安裝的應用程式	App installate	Aplicativos instalados	インストール済みアプリ	Zainstalowane aplikacje
Use the library as the Windows full screen experience	Die Bibliothek als Windows-Vollbildmodus nutzen	Utiliser la bibliothèque comme mode plein écran de Windows	라이브러리를 Windows 전체 화면 모드로 사용	Usar la biblioteca como modo de pantalla completa de Windows	Использовать библиотеку как полноэкранный режим Windows	Χρήση της βιβλιοθήκης ως εμπειρία πλήρους οθόνης των Windows	把游戏库作为 Windows 全屏体验	把遊戲庫作為 Windows 全螢幕體驗	Usa la libreria come esperienza a schermo intero di Windows	Usar a biblioteca como experiência de tela cheia do Windows	ライブラリを Windows の全画面エクスペリエンスにする	Użyj biblioteki jako trybu pełnoekranowego Windows
Download the ClawTweaks setup from the releases page.	Lade das ClawTweaks-Setup von der Releases-Seite.	Télécharge le programme d'installation ClawTweaks depuis la page des releases.	릴리스 페이지에서 ClawTweaks 설치 파일을 다운로드하세요.	Descarga el instalador de ClawTweaks desde la página de releases.	Скачайте установщик ClawTweaks со страницы релизов.	Κατεβάστε το setup του ClawTweaks από τη σελίδα εκδόσεων.	从发布页下载 ClawTweaks 安装程序。	從發佈頁下載 ClawTweaks 安裝程式。	Scarica il setup di ClawTweaks dalla pagina delle release.	Baixe o setup do ClawTweaks na página de releases.	リリースページから ClawTweaks のセットアップをダウンロードしてください。	Pobierz instalator ClawTweaks ze strony wydań.
Answer Yes when it asks about the full screen mode.	Beantworte die Frage nach dem Vollbildmodus mit Ja.	Réponds Oui à la question sur le mode plein écran.	전체 화면 모드를 묻는 질문에 예라고 답하세요.	Responde Sí a la pregunta sobre el modo de pantalla completa.	Ответьте «Да», когда спросит о полноэкранном режиме.	Απαντήστε Ναι όταν ρωτήσει για τη λειτουργία πλήρους οθόνης.	当它询问全屏模式时选择「是」。	當它詢問全螢幕模式時選擇「是」。	Rispondi Sì quando chiede della modalità a schermo intero.	Responda Sim quando perguntar sobre o modo de tela cheia.	全画面モードについて聞かれたら「はい」と答えてください。	Odpowiedz Tak, gdy zapyta o tryb pełnoekranowy.
Open releases	Releases öffnen	Ouvrir les releases	릴리스 열기	Abrir releases	Открыть релизы	Άνοιγμα εκδόσεων	打开发布页	開啟發佈頁	Apri le release	Abrir releases	リリースを開く	Otwórz wydania
Default browser	Standardbrowser	Navigateur par défaut	기본 브라우저	Navegador predeterminado	Браузер по умолчанию	Προεπιλεγμένος περιηγητής	默认浏览器	預設瀏覽器	Browser predefinito	Navegador padrão	既定のブラウザー	Domyślna przeglądarka
Download CTW wallpapers	CTW-Hintergründe laden	Télécharger les fonds CTW	CTW 배경 다운로드	Descargar fondos CTW	Скачать обои CTW	Λήψη ταπετσαριών CTW	下载 CTW 壁纸	下載 CTW 桌布	Scarica sfondi CTW	Baixar papéis de parede CTW	CTW の壁紙をダウンロード	Pobierz tapety CTW
ClawTweaks wallpapers	ClawTweaks-Hintergründe	Fonds ClawTweaks	ClawTweaks 배경	Fondos de ClawTweaks	Обои ClawTweaks	Ταπετσαρίες ClawTweaks	ClawTweaks 壁纸	ClawTweaks 桌布	Sfondi ClawTweaks	Papéis de parede ClawTweaks	ClawTweaks の壁紙	Tapety ClawTweaks
Downloaded when you pick one.	Wird beim Auswählen geladen.	Téléchargé quand tu en choisis un.	선택하면 다운로드됩니다.	Se descarga al elegir uno.	Загружается при выборе.	Κατεβαίνει όταν επιλέξετε μία.	选中时才下载。	選取時才下載。	Scaricato quando ne scegli uno.	Baixado quando você escolhe um.	選んだときにダウンロードされます。	Pobierana po wybraniu.
Looking for wallpapers…	Hintergründe werden gesucht…	Recherche de fonds…	배경을 찾는 중…	Buscando fondos…	Поиск обоев…	Αναζήτηση ταπετσαριών…	正在查找壁纸…	正在尋找桌布…	Ricerca degli sfondi…	Procurando papéis de parede…	壁紙を探しています…	Szukanie tapet…
The wallpaper list could not be reached. Check your connection.	Die Hintergrund-Liste ist nicht erreichbar. Prüfe deine Verbindung.	Liste des fonds inaccessible. Vérifie ta connexion.	배경 목록에 연결하지 못했습니다. 연결을 확인하세요.	No se pudo acceder a la lista de fondos. Comprueba tu conexión.	Не удалось получить список обоев. Проверьте подключение.	Δεν βρέθηκε η λίστα ταπετσαριών. Ελέγξτε τη σύνδεσή σας.	无法获取壁纸列表。请检查网络连接。	無法取得桌布清單。請檢查網路連線。	Elenco degli sfondi non raggiungibile. Controlla la connessione.	Não foi possível obter a lista de papéis de parede. Verifique sua conexão.	壁紙の一覧を取得できませんでした。接続を確認してください。	Nie można pobrać listy tapet. Sprawdź połączenie.
No wallpapers published yet.	Noch keine Hintergründe veröffentlicht.	Aucun fond publié pour l'instant.	아직 공개된 배경이 없습니다.	Aún no hay fondos publicados.	Обои ещё не опубликованы.	Δεν έχουν δημοσιευτεί ταπετσαρίες ακόμη.	还没有发布壁纸。	還沒有發佈桌布。	Nessuno sfondo pubblicato ancora.	Nenhum papel de parede publicado ainda.	まだ壁紙は公開されていません。	Nie opublikowano jeszcze tapet.
Library Settings	Bibliothek Einstellungen	Réglages bibliothèque	라이브러리 설정	Ajustes de biblioteca	Настройки библиотеки	Ρυθμίσεις βιβλιοθήκης	游戏库设置	遊戲庫設定	Impostazioni libreria	Configurações da biblioteca	ライブラリ設定	Ustawienia biblioteki
Library settings	Bibliothek Einstellungen	Réglages bibliothèque	라이브러리 설정	Ajustes de biblioteca	Настройки библиотеки	Ρυθμίσεις βιβλιοθήκης	游戏库设置	遊戲庫設定	Impostazioni libreria	Configurações da biblioteca	ライブラリ設定	Ustawienia biblioteki
Loading the page…	Seite wird geladen…	Chargement de la page…	문서를 불러오는 중…	Cargando la página…	Загрузка страницы…	Φόρτωση σελίδας…	正在加载页面…	正在載入頁面…	Caricamento della pagina…	Carregando a página…	ページを読み込み中…	Wczytywanie strony…
Loading…	Lädt…	Chargement…	불러오는 중…	Cargando…	Загрузка…	Φόρτωση…	加载中…	載入中…	Caricamento…	Carregando…	読み込み中…	Wczytywanie…
MSI Center M and its Game Bar widget are back.	MSI Center M und sein Game-Bar-Widget sind zurück.	MSI Center M et son widget Game Bar sont de retour.	MSI Center M과 게임 바 위젯이 돌아왔습니다.	MSI Center M y su widget de Game Bar han vuelto.	MSI Center M и его виджет Game Bar вернулись.	Το MSI Center M και το widget του στο Game Bar επέστρεψαν.	MSI Center M 及其 Game Bar 小组件已恢复。	MSI Center M 及其 Game Bar 小工具已恢復。	MSI Center M e il suo widget della Game Bar sono tornati.	O MSI Center M e seu widget da Game Bar estão de volta.	MSI Center M とその Game Bar ウィジェットが戻りました。	MSI Center M i jego widżet Game Bar wróciły.
MSI Center M is back, but its Game Bar widget could not be restored. Reinstall MSI Center M to get the widget back.	MSI Center M ist zurück, sein Game-Bar-Widget aber nicht. Installiere MSI Center M neu, um das Widget zurückzubekommen.	MSI Center M est de retour, mais pas son widget Game Bar. Réinstalle MSI Center M pour récupérer le widget.	MSI Center M은 돌아왔지만 게임 바 위젯은 복구되지 않았습니다. 위젯을 되찾으려면 MSI Center M을 다시 설치하세요.	MSI Center M ha vuelto, pero su widget de Game Bar no. Reinstala MSI Center M para recuperarlo.	MSI Center M вернулся, но его виджет Game Bar восстановить не удалось. Переустановите MSI Center M, чтобы вернуть виджет.	Το MSI Center M επέστρεψε, αλλά το widget του στο Game Bar δεν αποκαταστάθηκε. Εγκαταστήστε ξανά το MSI Center M για να επιστρέψει το widget.	MSI Center M 已恢复，但它的 Game Bar 小组件没能恢复。重新安装 MSI Center M 即可找回小组件。	MSI Center M 已恢復，但它的 Game Bar 小工具沒能恢復。重新安裝 MSI Center M 即可找回小工具。	MSI Center M è tornato, ma il suo widget della Game Bar no. Reinstalla MSI Center M per riavere il widget.	O MSI Center M voltou, mas seu widget da Game Bar não pôde ser restaurado. Reinstale o MSI Center M para recuperar o widget.	MSI Center M は戻りましたが、Game Bar ウィジェットは復元できませんでした。ウィジェットを戻すには MSI Center M を再インストールしてください。	MSI Center M wrócił, ale nie udało się przywrócić jego widżetu Game Bar. Zainstaluj MSI Center M ponownie, aby odzyskać widżet.
MSI Center M is not installed on this device.	MSI Center M ist auf diesem Gerät nicht installiert.	MSI Center M n'est pas installé sur cet appareil.	이 기기에는 MSI Center M이 설치되어 있지 않습니다.	MSI Center M no está instalado en este dispositivo.	MSI Center M на этом устройстве не установлен.	Το MSI Center M δεν είναι εγκατεστημένο σε αυτή τη συσκευή.	这台设备上没有安装 MSI Center M。	這台裝置上沒有安裝 MSI Center M。	MSI Center M non è installato su questo dispositivo.	O MSI Center M não está instalado neste dispositivo.	このデバイスに MSI Center M はインストールされていません。	MSI Center M nie jest zainstalowany na tym urządzeniu.
Macro	Makro	Macro	매크로	Macro	Макрос		宏	巨集	Macro		マクロ	Makro
Main versions	Hauptversionen	Versions principales	주요 버전	Versiones principales	Основные версии	Κύριες εκδόσεις	正式版本	正式版本	Versioni principali	Versões principais	通常版	Wersje główne
Manage your ClawTweaks settings — back them up, restore a previous backup, or reset everything to a clean state.	Verwalte deine ClawTweaks-Einstellungen — sichern, ein Backup zurückholen oder alles zurücksetzen.	Gérez vos réglages ClawTweaks — sauvegarde, restauration, ou remise à zéro complète.	ClawTweaks 설정을 관리합니다 — 백업, 복원, 또는 전체 초기화.	Gestiona tus ajustes de ClawTweaks — copia, restaura o restablece todo.	Управляйте настройками ClawTweaks — сохраните копию, восстановите прежнюю или сбросьте всё.	Διαχειριστείτε τις ρυθμίσεις σας ClawTweaks — κρατήστε αντίγραφο, επαναφέρετε ένα προηγούμενο ή επαναφέρετε τα πάντα σε καθαρή κατάσταση.	管理你的 ClawTweaks 设置 — 备份、还原之前的备份，或全部重置为干净状态。	管理你的 ClawTweaks 設定 — 備份、還原之前的備份，或全部重設為乾淨狀態。	Gestisci le impostazioni di ClawTweaks — fai un backup, ripristinane uno precedente o azzera tutto.	Gerencie suas configurações do ClawTweaks — faça backup, restaure um backup anterior ou redefina tudo.	ClawTweaks の設定を管理します — バックアップ、以前のバックアップの復元、すべてのリセットができます。	Zarządzaj ustawieniami ClawTweaks — utwórz kopię, przywróć wcześniejszą lub zresetuj wszystko.
Menu	Menü	Menu	메뉴	Menú	Меню	Μενού	菜单	選單	Menu		メニュー	
Minimize	Minimieren	Réduire	최소화	Minimizar	Свернуть	Ελαχιστοποίηση	最小化	最小化	Riduci	Minimizar	最小化	Minimalizuj
Minimize Center	Center minimieren	Réduire Center	Center 최소화	Minimizar Center	Свернуть Center	Ελαχιστοποίηση του Center	最小化 Center	最小化 Center	Riduci Center a icona	Minimizar o Center	Center を最小化	Minimalizuj Center
Mode: Fresh install	Modus: Neuinstallation	Mode : installation neuve	모드: 새로 설치	Modo: instalación nueva	Режим: чистая установка	Λειτουργία: Νέα εγκατάσταση	模式: 全新安装	模式: 全新安裝	Modalità: nuova installazione	Modo: instalação nova	モード: 新規インストール	Tryb: nowa instalacja
Mode: Update	Modus: Update	Mode : mise à jour	모드: 업데이트	Modo: actualizar	Режим: обновление	Λειτουργία: Ενημέρωση	模式: 更新	模式: 更新	Modo: aggiornamento	Modo: atualização	モード: 更新	Tryb: aktualizacja
Mouse	Maus	Souris	마우스	Ratón	Мышь	Ποντίκι	鼠标	滑鼠	Mouse		マウス	Mysz
My Apps	Meine Apps	Mes apps	내 앱	Mis apps	Мои прилож.	Εφαρμογές	我的应用	我的應用程式	Le mie app	Meus apps	マイアプリ	Moje apl.
NOT detected (VID_0DB0). The controller is missing, or MSI Center M has taken it over.	NICHT erkannt (VID_0DB0). Der Controller fehlt, oder MSI Center M hat ihn übernommen.	NON détecté (VID_0DB0). La manette est absente, ou MSI Center M l'a prise.	감지되지 않음 (VID_0DB0). 컨트롤러가 없거나 MSI Center M이 가져갔습니다.	NO detectado (VID_0DB0). Falta el mando, o MSI Center M lo ha tomado.	НЕ обнаружен (VID_0DB0). Контроллер отсутствует, или его захватил MSI Center M.	ΔΕΝ εντοπίστηκε (VID_0DB0). Λείπει το χειριστήριο ή το έχει πάρει το MSI Center M.	未检测到 (VID_0DB0)。手柄不存在，或已被 MSI Center M 接管。	未偵測到 (VID_0DB0)。控制器不存在，或已被 MSI Center M 接管。	NON rilevato (VID_0DB0). Il controller manca, oppure MSI Center M se n'è impossessato.	NÃO detectado (VID_0DB0). O controle está ausente ou o MSI Center M assumiu o controle dele.	検出されません (VID_0DB0)。コントローラーが無いか、MSI Center M が占有しています。	NIE wykryto (VID_0DB0). Kontrolera brakuje lub przejął go MSI Center M.
Nearest Neighbour	Nächster Nachbar	Plus proche voisin	최근접 이웃	Vecino más cercano	Ближайший сосед		最近邻	最近鄰	Nearest Neighbour	Vizinho mais próximo	ニアレストネイバー	Najbliższy sąsiad
