section	key	en	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
the dependencies. %1 is the tool's name, %2 a version or an exit code	DepWingetFailed	%1 did not install (winget exit %2).%n%nInstall it yourself and run this setup again.	%1 wurde nicht installiert (winget-Exitcode %2).%n%nInstalliere es selbst und starte dieses Setup erneut.	%1 ne s'est pas installé (code de sortie winget %2).%n%nInstallez-le vous-même et relancez cette installation.	%1이(가) 설치되지 않았습니다 (winget 종료 코드 %2).%n%n직접 설치한 다음 이 설치 프로그램을 다시 실행하세요.	%1 no se instaló (código de salida de winget %2).%n%nInstálalo tú mismo y vuelve a ejecutar este instalador.	%1 не установился (winget завершился с кодом %2).%n%nУстановите его сами и запустите установку снова.	Το %1 δεν εγκαταστάθηκε (το winget τερμάτισε με %2).%n%nΕγκαταστήστε το μόνοι σας και τρέξτε ξανά αυτό το setup.	%1 未安装成功 (winget 退出码 %2)。%n%n请自行安装，然后重新运行此安装程序。	%1 未安裝成功 (winget 結束代碼 %2)。%n%n請自行安裝，然後重新執行此安裝程式。	%1 non si è installato (winget è uscito con %2).%n%nInstallalo tu ed esegui di nuovo questo programma.	%1 não foi instalado (winget saiu com %2).%n%nInstale você mesmo e execute este instalador de novo.	%1 はインストールされませんでした (winget の終了コード %2)。%n%n自分でインストールしてから、このセットアップをもう一度実行してください。	%1 nie zainstalował się (winget zakończył z %2).%n%nZainstaluj go samodzielnie i uruchom ten instalator ponownie.
the dependencies. %1 is the tool's name, %2 a version or an exit code	DepDownloadFailed	%1 could not be downloaded.%n%nInstall it yourself, then run this setup again.	%1 konnte nicht heruntergeladen werden.%n%nInstalliere es selbst und starte dieses Setup erneut.	%1 n'a pas pu être téléchargé.%n%nInstallez-le vous-même, puis relancez cette installation.	%1을(를) 다운로드할 수 없습니다.%n%n직접 설치한 다음 이 설치 프로그램을 다시 실행하세요.	No se pudo descargar %1.%n%nInstálalo tú mismo y vuelve a ejecutar este instalador.	Не удалось скачать %1.%n%nУстановите его сами и запустите установку снова.	Δεν ήταν δυνατή η λήψη του %1.%n%nΕγκαταστήστε το μόνοι σας και τρέξτε ξανά αυτό το setup.	无法下载 %1。%n%n请自行安装，然后重新运行此安装程序。	無法下載 %1。%n%n請自行安裝，然後重新執行此安裝程式。	Non è stato possibile scaricare %1.%n%nInstallalo tu, poi esegui di nuovo questo programma.	Não foi possível baixar %1.%n%nInstale você mesmo e execute este instalador de novo.	%1 をダウンロードできませんでした。%n%n自分でインストールしてから、このセットアップをもう一度実行してください。	Nie udało się pobrać %1.%n%nZainstaluj go samodzielnie i uruchom ten instalator ponownie.
the dependencies. %1 is the tool's name, %2 a version or an exit code	DepSignatureRejected	%1 was downloaded but its signature was not accepted.%n%nIt was not installed and the file has been discarded.	%1 wurde heruntergeladen, aber seine Signatur wurde nicht akzeptiert.%n%nEs wurde nicht installiert und die Datei wurde verworfen.	%1 a été téléchargé mais sa signature n'a pas été acceptée.%n%nIl n'a pas été installé et le fichier a été supprimé.	%1을(를) 다운로드했지만 서명이 승인되지 않았습니다.%n%n설치하지 않았으며 파일은 삭제되었습니다.	%1 se descargó, pero su firma no fue aceptada.%n%nNo se instaló y el archivo se ha descartado.	%1 был скачан, но его подпись не принята.%n%nОн не установлен, файл удалён.	Το %1 κατέβηκε αλλά η υπογραφή του δεν έγινε δεκτή.%n%nΔεν εγκαταστάθηκε και το αρχείο διαγράφηκε.	%1 已下载，但它的签名未被接受。%n%n没有安装，文件已丢弃。	%1 已下載，但它的簽章未被接受。%n%n沒有安裝，檔案已捨棄。	%1 è stato scaricato ma la sua firma non è stata accettata.%n%nNon è stato installato e il file è stato eliminato.	%1 foi baixado, mas sua assinatura não foi aceita.%n%nEle não foi instalado e o arquivo foi descartado.	%1 はダウンロードされましたが、署名が受け入れられませんでした。%n%nインストールされず、ファイルは破棄されました。	%1 został pobrany, ale jego podpis nie został zaakceptowany.%n%nNie został zainstalowany, a plik usunięto.
the dependencies. %1 is the tool's name, %2 a version or an exit code	DepInstallFailed	%1 did not install cleanly (exit %2).%n%nYou can install it yourself and run this setup again.	%1 wurde nicht sauber installiert (Exitcode %2).%n%nDu kannst es selbst installieren und dieses Setup erneut starten.	%1 ne s'est pas installé correctement (code de sortie %2).%n%nVous pouvez l'installer vous-même et relancer cette installation.	%1이(가) 정상적으로 설치되지 않았습니다 (종료 코드 %2).%n%n직접 설치한 다음 이 설치 프로그램을 다시 실행할 수 있습니다.	%1 no se instaló correctamente (código de salida %2).%n%nPuedes instalarlo tú mismo y volver a ejecutar este instalador.	%1 установился с ошибкой (код %2).%n%nВы можете установить его сами и запустить установку снова.	Το %1 δεν εγκαταστάθηκε σωστά (έξοδος %2).%n%nΜπορείτε να το εγκαταστήσετε μόνοι σας και να τρέξετε ξανά αυτό το setup.	%1 没有正常安装 (退出码 %2)。%n%n你可以自行安装，然后重新运行此安装程序。	%1 沒有正常安裝 (結束代碼 %2)。%n%n你可以自行安裝，然後重新執行此安裝程式。	%1 non si è installato correttamente (uscita %2).%n%nPuoi installarlo tu ed eseguire di nuovo questo programma.	%1 não instalou corretamente (saída %2).%n%nVocê pode instalar por conta própria e executar este instalador de novo.	%1 が正しくインストールされませんでした (終了コード %2)。%n%n自分でインストールして、このセットアップをもう一度実行できます。	%1 nie zainstalował się poprawnie (kod %2).%n%nMożesz zainstalować go samodzielnie i uruchomić ten instalator ponownie.
the dependencies. %1 is the tool's name, %2 a version or an exit code	DepCancelled	Setup was cancelled while installing %1.	Das Setup wurde während der Installation von %1 abgebrochen.	L'installation a été annulée pendant l'installation de %1.	%1을(를) 설치하는 중 설치가 취소되었습니다.	El instalador se canceló durante la instalación de %1.	Установка отменена во время установки %1.	Το setup ακυρώθηκε κατά την εγκατάσταση του %1.	安装 %1 时安装程序被取消。	安裝 %1 時安裝程式被取消。	Installazione annullata durante l'installazione di %1.	A instalação foi cancelada enquanto %1 era instalado.	%1 のインストール中にセットアップが中止されました。	Instalację anulowano podczas instalowania %1.
the payload check	PayloadMissing	Setup is missing %1.%n%nThis installer was built from an incomplete payload folder.	Dem Setup fehlt %1.%n%nDieser Installer wurde aus einem unvollständigen Payload-Ordner gebaut.	Il manque %1 à l'installation.%n%nCet installateur a été construit à partir d'un dossier de contenu incomplet.	설치 프로그램에 %1이(가) 없습니다.%n%n이 설치 프로그램은 불완전한 페이로드 폴더로 만들어졌습니다.	Al instalador le falta %1.%n%nEste instalador se creó a partir de una carpeta de contenido incompleta.	В программе установки нет %1.%n%nЭтот установщик собран из неполной папки.	Από το setup λείπει %1.%n%nΑυτός ο εγκαταστάτης φτιάχτηκε από ελλιπή φάκελο.	安装程序缺少 %1。%n%n这个安装包是用不完整的文件夹构建的。	安裝程式缺少 %1。%n%n這個安裝檔是用不完整的資料夾建置的。	Al programma di installazione manca %1.%n%nQuesto installer è stato creato da una cartella incompleta.	Falta %1 no instalador.%n%nEste instalador foi montado a partir de uma pasta incompleta.	セットアップに %1 がありません。%n%nこのインストーラーは不完全なフォルダーから作られています。	W instalatorze brakuje %1.%n%nTen instalator zbudowano z niekompletnego folderu.
the payload check	PayloadCer	the signing certificate (.cer)	das Signaturzertifikat (.cer)	le certificat de signature (.cer)	서명 인증서(.cer)	el certificado de firma (.cer)	сертификата подписи (.cer)	το πιστοποιητικό υπογραφής (.cer)	签名证书 (.cer)	簽署憑證 (.cer)	il certificato di firma (.cer)	o certificado de assinatura (.cer)	署名証明書 (.cer)	certyfikatu podpisu (.cer)
the payload check	PayloadMsix	the app package (.msix)	das App-Paket (.msix)	le paquet de l'application (.msix)	앱 패키지(.msix)	el paquete de la app (.msix)	пакета приложения (.msix)	το πακέτο εφαρμογής (.msix)	应用包 (.msix)	應用程式套件 (.msix)	il pacchetto dell'app (.msix)	o pacote do app (.msix)	アプリパッケージ (.msix)	pakietu aplikacji (.msix)
the payload check	PayloadAnd	 and	 und	 et	 및	 y	 и	 και	 和	 和	 e	 e	 と	 i
the app package and the background task	InstallStatus	Installing the certificate and the app package...	Zertifikat und App-Paket werden installiert...	Installation du certificat et du paquet de l'application...	인증서와 앱 패키지를 설치하는 중...	Instalando el certificado y el paquete de la app...	Установка сертификата и пакета приложения...	Εγκατάσταση πιστοποιητικού και πακέτου εφαρμογής...	正在安装证书和应用包...	正在安裝憑證和應用程式套件...	Installazione del certificato e del pacchetto dell'app...	Instalando o certificado e o pacote do app...	証明書とアプリパッケージをインストール中...	Instalowanie certyfikatu i pakietu aplikacji...
the app package and the background task	PsMissing	Could not start Windows PowerShell.%n%nExpected it at:%n%1	Windows PowerShell konnte nicht gestartet werden.%n%nErwartet unter:%n%1	Impossible de démarrer Windows PowerShell.%n%nEmplacement attendu :%n%1	Windows PowerShell을 시작할 수 없습니다.%n%n예상 위치:%n%1	No se pudo iniciar Windows PowerShell.%n%nSe esperaba en:%n%1	Не удалось запустить Windows PowerShell.%n%nОжидался здесь:%n%1	Δεν ήταν δυνατή η εκκίνηση του Windows PowerShell.%n%nΑναμενόταν εδώ:%n%1	无法启动 Windows PowerShell。%n%n预期位置:%n%1	無法啟動 Windows PowerShell。%n%n預期位置:%n%1	Impossibile avviare Windows PowerShell.%n%nAtteso qui:%n%1	Não foi possível iniciar o Windows PowerShell.%n%nEsperado em:%n%1	Windows PowerShell を起動できませんでした。%n%n次の場所にあるはずです:%n%1	Nie udało się uruchomić Windows PowerShell.%n%nOczekiwano go w:%n%1
the app package and the background task	PkgFailed	The app package was not installed.%n%nInstall.ps1 exited with code %1.	Das App-Paket wurde nicht installiert.%n%nInstall.ps1 endete mit Code %1.	Le paquet de l'application n'a pas été installé.%n%nInstall.ps1 s'est terminé avec le code %1.	앱 패키지가 설치되지 않았습니다.%n%nInstall.ps1이 코드 %1(으)로 종료되었습니다.	El paquete de la app no se instaló.%n%nInstall.ps1 terminó con el código %1.	Пакет приложения не установлен.%n%nInstall.ps1 завершился с кодом %1.	Το πακέτο εφαρμογής δεν εγκαταστάθηκε.%n%nΤο Install.ps1 τερμάτισε με κωδικό %1.	应用包没有安装。%n%nInstall.ps1 以代码 %1 退出。	應用程式套件沒有安裝。%n%nInstall.ps1 以代碼 %1 結束。	Il pacchetto dell'app non è stato installato.%n%nInstall.ps1 è uscito con codice %1.	O pacote do app não foi instalado.%n%nO Install.ps1 saiu com o código %1.	アプリパッケージはインストールされませんでした。%n%nInstall.ps1 が終了コード %1 で終了しました。	Pakiet aplikacji nie został zainstalowany.%n%nInstall.ps1 zakończył się kodem %1.
the app package and the background task	TaskMissing	ClawTweaks is installed. Its background task is missing.%n%nOpen the Game Bar with Win+G, add the ClawTweaks widget and confirm the Windows prompt.	ClawTweaks ist installiert. Die Hintergrundaufgabe fehlt.%n%nÖffne die Game Bar mit Win+G, füge das ClawTweaks-Widget hinzu und bestätige die Windows-Abfrage.	ClawTweaks est installé. Sa tâche d'arrière-plan est absente.%n%nOuvrez la Game Bar avec Win+G, ajoutez le widget ClawTweaks et confirmez l'invite Windows.	ClawTweaks가 설치되었습니다. 백그라운드 작업이 없습니다.%n%nWin+G로 Game Bar를 열고 ClawTweaks 위젯을 추가한 뒤 Windows 확인 창을 승인하세요.	ClawTweaks está instalado. Falta su tarea en segundo plano.%n%nAbre la Game Bar con Win+G, añade el widget de ClawTweaks y confirma el aviso de Windows.	ClawTweaks установлен. Его фоновая задача отсутствует.%n%nОткройте Game Bar клавишами Win+G, добавьте виджет ClawTweaks и подтвердите запрос Windows.	Το ClawTweaks εγκαταστάθηκε. Λείπει η εργασία παρασκηνίου του.%n%nΑνοίξτε το Game Bar με Win+G, προσθέστε το widget του ClawTweaks και επιβεβαιώστε το ερώτημα των Windows.	ClawTweaks 已安装。它的后台任务缺失。%n%n用 Win+G 打开 Game Bar，添加 ClawTweaks 小组件并确认 Windows 提示。	ClawTweaks 已安裝。它的背景工作缺少。%n%n用 Win+G 開啟 Game Bar，加入 ClawTweaks 小工具並確認 Windows 提示。	ClawTweaks è installato. Manca la sua attività in background.%n%nApri il Game Bar con Win+G, aggiungi il widget ClawTweaks e conferma la richiesta di Windows.	O ClawTweaks está instalado. A tarefa em segundo plano dele está faltando.%n%nAbra o Game Bar com Win+G, adicione o widget do ClawTweaks e confirme o pedido do Windows.	ClawTweaks はインストール済みです。バックグラウンドのタスクがありません。%n%nWin+G で Game Bar を開き、ClawTweaks ウィジェットを追加して Windows の確認に応じてください。	ClawTweaks jest zainstalowany. Brakuje jego zadania w tle.%n%nOtwórz Game Bar klawiszami Win+G, dodaj widżet ClawTweaks i potwierdź monit Windows.
the app package and the background task	TaskNotElevated	The ClawTweaks background task was created without full privileges.%n%nReinstall ClawTweaks and confirm the Windows prompt.	Die ClawTweaks-Hintergrundaufgabe wurde ohne volle Rechte angelegt.%n%nInstalliere ClawTweaks erneut und bestätige die Windows-Abfrage.	La tâche d'arrière-plan ClawTweaks a été créée sans tous les droits.%n%nRéinstallez ClawTweaks et confirmez l'invite Windows.	ClawTweaks 백그라운드 작업이 전체 권한 없이 만들어졌습니다.%n%nClawTweaks를 다시 설치하고 Windows 확인 창을 승인하세요.	La tarea en segundo plano de ClawTweaks se creó sin todos los permisos.%n%nReinstala ClawTweaks y confirma el aviso de Windows.	Фоновая задача ClawTweaks создана без полных прав.%n%nПереустановите ClawTweaks и подтвердите запрос Windows.	Η εργασία παρασκηνίου του ClawTweaks δημιουργήθηκε χωρίς πλήρη δικαιώματα.%n%nΕγκαταστήστε ξανά το ClawTweaks και επιβεβαιώστε το ερώτημα των Windows.	ClawTweaks 的后台任务创建时没有完整权限。%n%n重新安装 ClawTweaks 并确认 Windows 提示。	ClawTweaks 的背景工作建立時沒有完整權限。%n%n重新安裝 ClawTweaks 並確認 Windows 提示。	L'attività in background di ClawTweaks è stata creata senza privilegi completi.%n%nReinstalla ClawTweaks e conferma la richiesta di Windows.	A tarefa em segundo plano do ClawTweaks foi criada sem privilégios completos.%n%nReinstale o ClawTweaks e confirme o pedido do Windows.	ClawTweaks のバックグラウンドタスクが完全な権限なしで作られました。%n%nClawTweaks を入れ直して、Windows の確認に応じてください。	Zadanie w tle ClawTweaks utworzono bez pełnych uprawnień.%n%nZainstaluj ClawTweaks ponownie i potwierdź monit Windows.
the widget notice. Two bodies: with the prompt, and without it when the task already exists	WidgetTitle	Add the ClawTweaks widget	ClawTweaks-Widget hinzufügen	Ajouter le widget ClawTweaks	ClawTweaks 위젯 추가	Añade el widget de ClawTweaks	Добавьте виджет ClawTweaks	Προσθέστε το widget του ClawTweaks	添加 ClawTweaks 小组件	加入 ClawTweaks 小工具	Aggiungi il widget ClawTweaks	Adicione o widget do ClawTweaks	ClawTweaks ウィジェットを追加してください	Dodaj widżet ClawTweaks
the widget notice. Two bodies: with the prompt, and without it when the task already exists	WidgetBodyPrompt	Setup will now install ClawTweaks.%n%n1. Click OK. The Game Bar opens by itself.%n2. Open the widget menu (the dotted button).%n3. Pick ClawTweaks, unless it is already there.%n4. Confirm the Windows prompt that appears.%n%nDo not restart until Setup is finished.	Das Setup installiert jetzt ClawTweaks.%n%n1. Klicke auf OK. Die Game Bar öffnet sich von selbst.%n2. Öffne das Widget-Menü (die gepunktete Schaltfläche).%n3. Wähle ClawTweaks, falls es nicht schon da ist.%n4. Bestätige die Windows-Abfrage, die erscheint.%n%nStarte nicht neu, bevor das Setup fertig ist.	L'installation de ClawTweaks va commencer.%n%n1. Cliquez sur OK. La Game Bar s'ouvre d'elle-même.%n2. Ouvrez le menu des widgets (le bouton pointillé).%n3. Choisissez ClawTweaks, s'il n'y est pas déjà.%n4. Confirmez l'invite Windows qui apparaît.%n%nNe redémarrez pas avant la fin de l'installation.	이제 ClawTweaks를 설치합니다.%n%n1. 확인을 누르세요. Game Bar가 자동으로 열립니다.%n2. 위젯 메뉴(점 모양 버튼)를 여세요.%n3. ClawTweaks가 없으면 선택하세요.%n4. 나타나는 Windows 확인 창을 승인하세요.%n%n설치가 끝날 때까지 다시 시작하지 마세요.	El instalador va a instalar ClawTweaks ahora.%n%n1. Pulsa Aceptar. La Game Bar se abre sola.%n2. Abre el menú de widgets (el botón con puntos).%n3. Elige ClawTweaks, si no está ya.%n4. Confirma el aviso de Windows que aparece.%n%nNo reinicies hasta que el instalador termine.	Сейчас будет установлен ClawTweaks.%n%n1. Нажмите ОК. Game Bar откроется сам.%n2. Откройте меню виджетов (кнопка с точками).%n3. Выберите ClawTweaks, если его там ещё нет.%n4. Подтвердите появившийся запрос Windows.%n%nНе перезагружайтесь до конца установки.	Το setup θα εγκαταστήσει τώρα το ClawTweaks.%n%n1. Πατήστε OK. Το Game Bar ανοίγει μόνο του.%n2. Ανοίξτε το μενού widget (το κουμπί με τις τελείες).%n3. Επιλέξτε ClawTweaks, αν δεν είναι ήδη εκεί.%n4. Επιβεβαιώστε το ερώτημα των Windows που εμφανίζεται.%n%nΜην κάνετε επανεκκίνηση πριν τελειώσει το setup.	安装程序现在会安装 ClawTweaks。%n%n1. 点击确定。Game Bar 会自己打开。%n2. 打开小组件菜单 (带点的按钮)。%n3. 选择 ClawTweaks，如果它还不在那里。%n4. 确认出现的 Windows 提示。%n%n安装结束前不要重启。	安裝程式現在會安裝 ClawTweaks。%n%n1. 按確定。Game Bar 會自己開啟。%n2. 開啟小工具選單 (帶點的按鈕)。%n3. 選擇 ClawTweaks，如果它還不在那裡。%n4. 確認出現的 Windows 提示。%n%n安裝結束前不要重新啟動。	Ora verrà installato ClawTweaks.%n%n1. Premi OK. Il Game Bar si apre da solo.%n2. Apri il menu dei widget (il pulsante con i puntini).%n3. Scegli ClawTweaks, se non è già lì.%n4. Conferma la richiesta di Windows che compare.%n%nNon riavviare prima della fine.	O instalador vai instalar o ClawTweaks agora.%n%n1. Clique em OK. O Game Bar abre sozinho.%n2. Abra o menu de widgets (o botão com pontinhos).%n3. Escolha ClawTweaks, se ainda não estiver lá.%n4. Confirme o pedido do Windows que aparecer.%n%nNão reinicie antes de terminar.	これから ClawTweaks をインストールします。%n%n1. OK を押します。Game Bar が自動で開きます。%n2. ウィジェットメニュー (点のボタン) を開きます。%n3. まだ無ければ ClawTweaks を選びます。%n4. 表示される Windows の確認に応じます。%n%n終わるまで再起動しないでください。	Instalator zainstaluje teraz ClawTweaks.%n%n1. Kliknij OK. Game Bar otworzy się sam.%n2. Otwórz menu widżetów (przycisk z kropkami).%n3. Wybierz ClawTweaks, jeśli jeszcze go tam nie ma.%n4. Potwierdź monit Windows, który się pojawi.%n%nNie uruchamiaj ponownie przed końcem.
the widget notice. Two bodies: with the prompt, and without it when the task already exists	WidgetBodyNoPrompt	Setup will now install ClawTweaks.%n%n1. Click OK. The Game Bar opens by itself.%n2. Open the widget menu (the dotted button).%n3. Pick ClawTweaks, unless it is already there.%n%nNo Windows prompt this time - the task is already set up.%nDo not restart until Setup is finished.	Das Setup installiert jetzt ClawTweaks.%n%n1. Klicke auf OK. Die Game Bar öffnet sich von selbst.%n2. Öffne das Widget-Menü (die gepunktete Schaltfläche).%n3. Wähle ClawTweaks, falls es nicht schon da ist.%n%nDiesmal keine Windows-Abfrage - die Aufgabe ist schon eingerichtet.%nStarte nicht neu, bevor das Setup fertig ist.	L'installation de ClawTweaks va commencer.%n%n1. Cliquez sur OK. La Game Bar s'ouvre d'elle-même.%n2. Ouvrez le menu des widgets (le bouton pointillé).%n3. Choisissez ClawTweaks, s'il n'y est pas déjà.%n%nPas d'invite Windows cette fois - la tâche est déjà en place.%nNe redémarrez pas avant la fin de l'installation.	이제 ClawTweaks를 설치합니다.%n%n1. 확인을 누르세요. Game Bar가 자동으로 열립니다.%n2. 위젯 메뉴(점 모양 버튼)를 여세요.%n3. ClawTweaks가 없으면 선택하세요.%n%n이번에는 Windows 확인 창이 없습니다 - 작업이 이미 설정되어 있습니다.%n설치가 끝날 때까지 다시 시작하지 마세요.	El instalador va a instalar ClawTweaks ahora.%n%n1. Pulsa Aceptar. La Game Bar se abre sola.%n2. Abre el menú de widgets (el botón con puntos).%n3. Elige ClawTweaks, si no está ya.%n%nEsta vez no hay aviso de Windows: la tarea ya está configurada.%nNo reinicies hasta que el instalador termine.	Сейчас будет установлен ClawTweaks.%n%n1. Нажмите ОК. Game Bar откроется сам.%n2. Откройте меню виджетов (кнопка с точками).%n3. Выберите ClawTweaks, если его там ещё нет.%n%nВ этот раз запроса Windows не будет — задача уже создана.%nНе перезагружайтесь до конца установки.	Το setup θα εγκαταστήσει τώρα το ClawTweaks.%n%n1. Πατήστε OK. Το Game Bar ανοίγει μόνο του.%n2. Ανοίξτε το μενού widget (το κουμπί με τις τελείες).%n3. Επιλέξτε ClawTweaks, αν δεν είναι ήδη εκεί.%n%nΑυτή τη φορά δεν θα εμφανιστεί ερώτημα των Windows — η εργασία υπάρχει ήδη.%nΜην κάνετε επανεκκίνηση πριν τελειώσει το setup.	安装程序现在会安装 ClawTweaks。%n%n1. 点击确定。Game Bar 会自己打开。%n2. 打开小组件菜单 (带点的按钮)。%n3. 选择 ClawTweaks，如果它还不在那里。%n%n这次没有 Windows 提示 - 任务已经建好了。%n安装结束前不要重启。	安裝程式現在會安裝 ClawTweaks。%n%n1. 按確定。Game Bar 會自己開啟。%n2. 開啟小工具選單 (帶點的按鈕)。%n3. 選擇 ClawTweaks，如果它還不在那裡。%n%n這次沒有 Windows 提示 - 工作已經建好了。%n安裝結束前不要重新啟動。	Ora verrà installato ClawTweaks.%n%n1. Premi OK. Il Game Bar si apre da solo.%n2. Apri il menu dei widget (il pulsante con i puntini).%n3. Scegli ClawTweaks, se non è già lì.%n%nQuesta volta nessuna richiesta di Windows - l'attività esiste già.%nNon riavviare prima della fine.	O instalador vai instalar o ClawTweaks agora.%n%n1. Clique em OK. O Game Bar abre sozinho.%n2. Abra o menu de widgets (o botão com pontinhos).%n3. Escolha ClawTweaks, se ainda não estiver lá.%n%nDesta vez não há pedido do Windows - a tarefa já existe.%nNão reinicie antes de terminar.	これから ClawTweaks をインストールします。%n%n1. OK を押します。Game Bar が自動で開きます。%n2. ウィジェットメニュー (点のボタン) を開きます。%n3. まだ無ければ ClawTweaks を選びます。%n%n今回は Windows の確認は出ません - タスクはすでにあります。%n終わるまで再起動しないでください。	Instalator zainstaluje teraz ClawTweaks.%n%n1. Kliknij OK. Game Bar otworzy się sam.%n2. Otwórz menu widżetów (przycisk z kropkami).%n3. Wybierz ClawTweaks, jeśli jeszcze go tam nie ma.%n%nTym razem bez monitu Windows - zadanie już istnieje.%nNie uruchamiaj ponownie przed końcem.
Center	CenterInstalling	Installing ClawTweaks Center...	ClawTweaks Center wird installiert...	Installation de ClawTweaks Center...	ClawTweaks Center 설치 중...	Instalando ClawTweaks Center...	Установка ClawTweaks Center...	Εγκατάσταση του ClawTweaks Center...	正在安装 ClawTweaks Center...	正在安裝 ClawTweaks Center...	Installazione di ClawTweaks Center...	Instalando o ClawTweaks Center...	ClawTweaks Center をインストール中...	Instalowanie ClawTweaks Center...
Center	CenterRemovingOld	Removing the previous ClawTweaks Center...	Das vorherige ClawTweaks Center wird entfernt...	Suppression de l'ancien ClawTweaks Center...	이전 ClawTweaks Center를 제거하는 중...	Eliminando el ClawTweaks Center anterior...	Удаление прежнего ClawTweaks Center...	Αφαίρεση του προηγούμενου ClawTweaks Center...	正在删除之前的 ClawTweaks Center...	正在移除之前的 ClawTweaks Center...	Rimozione del precedente ClawTweaks Center...	Removendo o ClawTweaks Center anterior...	以前の ClawTweaks Center を削除中...	Usuwanie poprzedniego ClawTweaks Center...
Center	CenterFailed	ClawTweaks Center could not be installed.%n%nEverything else is installed. You can install Center separately.	ClawTweaks Center konnte nicht installiert werden.%n%nAlles andere ist installiert. Du kannst Center separat installieren.	ClawTweaks Center n'a pas pu être installé.%n%nTout le reste est installé. Vous pouvez installer Center séparément.	ClawTweaks Center를 설치하지 못했습니다.%n%n나머지는 모두 설치되었습니다. Center는 따로 설치할 수 있습니다.	No se pudo instalar ClawTweaks Center.%n%nTodo lo demás está instalado. Puedes instalar Center por separado.	Не удалось установить ClawTweaks Center.%n%nВсё остальное установлено. Center можно установить отдельно.	Το ClawTweaks Center δεν εγκαταστάθηκε.%n%nΌλα τα υπόλοιπα εγκαταστάθηκαν. Μπορείτε να εγκαταστήσετε το Center ξεχωριστά.	无法安装 ClawTweaks Center。%n%n其他一切都已安装。你可以单独安装 Center。	無法安裝 ClawTweaks Center。%n%n其他一切都已安裝。你可以單獨安裝 Center。	Non è stato possibile installare ClawTweaks Center.%n%nTutto il resto è installato. Puoi installare Center a parte.	Não foi possível instalar o ClawTweaks Center.%n%nTodo o resto foi instalado. Você pode instalar o Center separadamente.	ClawTweaks Center をインストールできませんでした。%n%nそれ以外はすべてインストールされました。Center は個別に入れられます。	Nie udało się zainstalować ClawTweaks Center.%n%nCała reszta jest zainstalowana. Center możesz zainstalować osobno.
the uninstaller	UninstTitle	Remove ClawTweaks	ClawTweaks entfernen	Supprimer ClawTweaks	ClawTweaks 제거	Eliminar ClawTweaks	Удаление ClawTweaks	Αφαίρεση του ClawTweaks	删除 ClawTweaks	移除 ClawTweaks	Rimuovere ClawTweaks	Remover o ClawTweaks	ClawTweaks を削除	Usuń ClawTweaks
the uninstaller	UninstIntro	ClawTweaks will be removed completely.%nThese tools came with it. Untick any you want to keep.	ClawTweaks wird vollständig entfernt.%nDiese Werkzeuge kamen mit. Hake ab, was du behalten willst.	ClawTweaks sera entièrement supprimé.%nCes outils l'accompagnaient. Décochez ceux que vous voulez garder.	ClawTweaks를 완전히 제거합니다.%n다음 도구는 함께 설치되었습니다. 남길 항목은 선택을 해제하세요.	ClawTweaks se eliminará por completo.%nEstas herramientas venían con él. Desmarca las que quieras conservar.	ClawTweaks будет удалён полностью.%nЭти инструменты пришли вместе с ним. Снимите отметку с тех, которые хотите оставить.	Το ClawTweaks θα αφαιρεθεί πλήρως.%nΑυτά τα εργαλεία ήρθαν μαζί του. Ξεμαρκάρετε όσα θέλετε να κρατήσετε.	ClawTweaks 会被完全删除。%n这些工具是随它一起来的。想保留哪个就取消勾选。	ClawTweaks 會被完全移除。%n這些工具是隨它一起來的。想保留哪個就取消勾選。	ClawTweaks verrà rimosso completamente.%nQuesti strumenti sono arrivati con lui. Deseleziona quelli che vuoi tenere.	O ClawTweaks será removido por completo.%nEstas ferramentas vieram junto. Desmarque as que quiser manter.	ClawTweaks を完全に削除します。%nこれらのツールは一緒に入りました。残したいものはチェックを外してください。	ClawTweaks zostanie usunięty całkowicie.%nTe narzędzia przyszły razem z nim. Odznacz te, które chcesz zachować.
the uninstaller	UninstRemove	Remove	Entfernen	Supprimer	제거	Eliminar	Удалить	Αφαίρεση	删除	移除	Rimuovi	Remover	削除	Usuń
the uninstaller	OffbHead	ClawTweaks cannot run its guided offboarding.	ClawTweaks kann seine geführte Rückgabe nicht ausführen.	ClawTweaks ne peut pas exécuter sa procédure de départ guidée.	ClawTweaks의 안내형 되돌리기를 실행할 수 없습니다.	ClawTweaks no puede ejecutar su salida guiada.	ClawTweaks не может выполнить пошаговый возврат.	Το ClawTweaks δεν μπορεί να εκτελέσει την καθοδηγούμενη επαναφορά.	ClawTweaks 无法执行引导式退出。	ClawTweaks 無法執行引導式退出。	ClawTweaks non può eseguire la sua uscita guidata.	O ClawTweaks não consegue executar a saída guiada.	ClawTweaks は案内付きの復帰を実行できません。	ClawTweaks nie może wykonać prowadzonego wycofania.
